id,question,A,B,C,D,answer
1983,"একটি সমান্তরালিকের সন্নিহিত দুটি বাহু যথাক্রমে A ⃗ = 3i ̂ – j ̂ + 2k ̂ এবং B ⃗ = i ̂ – 2j ̂ + 4k ̂ হলে, সমান্তরালিকের ক্ষেত্রফল কত?",5.59,6.87,7.83,8.79,C
1984,d/dx (k ⃗ × u ⃗) = ?,dk ⃗/dx × du ⃗/dx,dk ⃗/dx × u ⃗ + k ⃗ × du ⃗/dx,dk ⃗/dx . u ⃗ × du/dx k ⃗,কোনটিই নয়,B
1985,R ⃗ = 4i ̂ – 6j ̂ + 12k ̂ হলে এর সমান্তরাল একক ভেক্টর কোনটি?,2/7 i ̂ – 3/7 j ̂ + 6/7 k ̂,2i ̂ – 3j ̂ + 6k ̂,i ̂ – j ̂ + 2k ̂,8i ̂ – 12j ̂ + 24k ̂,A
1986,তল বা তলের ক্ষেত্রফল:,স্কেলার রাশি,অদিক রাশি,ভেক্টর রাশি,মৌলিক রাশি,C
1987,দুটি বল সমান্তরালে কত ডিগ্রী কোণে ক্রিয়া করলে বলদ্বয়ের ফলিত শূন্য হবে:,0°,90°,120°,180°,D
1988,দুটি ভেক্টর পরস্পর কত ডিগ্রী কোণে ক্রিয়া করলে তাদের স্কেলার গুণফল ও ভেক্টর গুণফলের মান সমান হবে?,90°,0°,45°,180°,C
1989,"একই বিন্দুতে ক্রিয়ারত দুটি ভেক্টরের মান সমান। তাদের মধ্যেকার কোণ α এবং তাদের ফলিত যে কোনো একটি ভেক্টরের সাথে θ কোণ উৎপন্ন করলে, α ও θ এর সম্পর্ক হবে:",2α,θ = 3α/2,θ = α/2,θ = α,C
1990,ভেক্টর বিভVেক্টর বিভাজনের প্রকাশ কোনটি?,অংশক,ফলিত উপাংশ,মূল ভেক্টর,ফলিত ভেক্টর,D
1991,মানুষকে সামনে চলতে সাহায্য করে:,উল্লম্ব উপাংশ,অনুভূমিক উপাংশ,উল্লম্ব-অনুভূমিক উপাংশ,কোনটিই নয়,B
1992,p এর মান কত হলে A ⃗ = 2i ̂ + 2j ̂ – 2k ̂ এবং B ⃗ = pi ̂ + 3j ̂ + 4k ̂ পরস্পর লম্ব হবে?,4,5,2,1,C
1993,j ̂ + 2k ̂ ভেক্টরটি X-অক্ষের সাথে কত ডিগ্রী কোণে আনত?,0°,45°,90°,কোনটিই নয়,C
1994,দুটি ভেক্টর পরস্পর লম্ব হলে তাদের ভেক্টর গুণফলের মান:,অসীম হয়,শূন্য হয়,সর্বোচ্চ হয়,সর্বনিম্ন হয়,C
1995,যে সমান্তরালিকের সন্নিহিত দুটি বাহু যথাক্রমে A ⃗ = 3i ̂ + j ̂ – 2k ̂ এবং B ⃗ = i ̂ – 3j ̂ + 4k ̂ তার ক্ষেত্রফল কত?,2√3 একক,3√10 একক,10√3 একক,20√4 একক,C
1996,দ্রাব্য এবং অদ্রাব্য তরল একসাথে থাকলে কোন পদ্ধতিতে পৃথক করা যায়?,আলোক বিচ্ছুরণ,নিষ্কাশন,প্রবাহ,বাষ্পীভবন,B
1997,শূন্য পয়েন্ট শক্তি ধারণা কোন তত্ত্বে ব্যবহৃত হয়?,তাপগতিবিদ্যায়,আপেক্ষিকতা তত্ত্বে,কোয়ান্টাম বলবিদ্যায়,স্থির তরঙ্গ তত্ত্বে,C
1998,আপেক্ষিকতা তত্ত্ব অনুযায়ী একটি চলমান ঘড়ির সময় পর্যবেক্ষকের তুলনায় কেমন হয়?,দ্রুত,ধীরে,শূন্য,অপরিবর্তিত,B
1999,পৃথিবী ও চাঁদের মধ্যে অভিকর্ষজ বল কীসের উপর নির্ভর করে?,তাদের বেগের উপর,তাদের ভরের অনুপাতে,তাদের ভরের গুণফল এবং দূরত্বের বর্গের বিপরীত অনুপাতে,তাদের ত্বরণের উপর,C
2000,L = Iω সূত্রে L কী নির্দেশ করে?,তড়িৎ প্রবাহ,ঘূর্ণন ভরবেগ,ঘর্ষণ বল,চৌম্বক ক্ষেত্র,B
2001,ম্যাক্সওয়েলের সমীকরণসমূহ কতটি মৌলিক তড়িৎচৌম্বক সমীকরণ নির্দেশ করে?,৪টি,৫টি,৩টি,২টি,A
2002,স্টেফান–বল্টজম্যান সূত্রে বিকিরণের শক্তি কোন রাশির উপর নির্ভর করে?,তাপমাত্রার উপর,চাপের উপর,ঘনত্বের উপর,পৃষ্ঠদেশের উপর,A
2003,হাইড্রোজেন পরমাণুর মূল অবস্থা কোন প্রধান কোয়ান্টাম সংখ্যার জন্য হয়?,n=0,n=1,n=2,n=3,B
2004,কোয়ান্টাম বলবিজ্ঞানে অবস্থান ও ভরবেগ একসাথে নির্ভুলভাবে নির্ধারণ করা যায় না—এ নীতিটি কার?,আইনস্টাইন,হাইজেনবার্গ,শ্রোডিঙ্গার,প্ল্যাঙ্ক,B
2005,ভর–শক্তি সমতুল্য সূত্রটি কোনটি?,E=mv²,E=mc,E=m/v,E=mc²,D
2006,একটি ফোটন ও একটি ইলেকট্রনের একে অপরের সাথে ধাক্কা লাগলে সর্বোচ্চ শক্তি বিনিময়ের সম্ভাব্যতা কোথায়?,ফোটনের তরঙ্গদৈর্ঘ্যের উপর,ইলেকট্রনের ভরের উপর,উভয়ের আপেক্ষিক বেগের উপর,শূন্যে,C
2007,একটি বস্তু 5 m/s বেগে চলছে এবং প্রতি সেকেন্ডে −2 m/s² ত্বরণ পেলে ৩ সেকেন্ড পর এর বেগ কত হবে?,−11 m/s,−5 m/s,−1 m/s,1 m/s,B
2008,একটি pendulum-এর দৈর্ঘ্য চারগুণ করলে তার দোলনকাল কত গুণ হবে?,৪,২,√২,০২-Jan,C
2009,একটি রকেট ৩ s এ ভরের ১/২০ অংশ হারালে এবং গ্যাস স্পিড ৩৫০০ m/s হলে তার ত্বরণ কত হবে?,১২ m/s²,১৫ m/s²,১৮ m/s²,২১ m/s²,B
2010,তাপ পরিবাহিতা তুলনা: ধাতুগুলোর মধ্যে কে বেশি পরিবাহী?,রূপা>তামা,তামা>লোহা,তামা>সীসা,তামা>অ্যালুমিনিয়াম,A
2011,নিউটনের জড়তার সূত্র অনুযায়ী বস্তু স্থির থাকে যদি—,বল প্রয়োগ না হয়,বেগ পরিবর্তনশীল হয়,ভর কম হয়,ত্বরণ শূন্য না হয়,A
2012,পাস্কালের নিয়ম কোনটির সাথে সম্পর্কিত?,দ্রব পদার্থে চাপ সমভাবে বিস্তার,চুম্বক প্রবাহ,অভিকর্ষীয় শক্তি,তাপ পরিবাহিতা,A
2013,কৃত্রিম উপগ্রহ কক্ষপথে স্থির থাকার জন্য কোন শক্তি দায়ী?,মাধ্যাকর্ষণ শক্তি ও কেন্দ্রাতিগ বলের সমতা,শুধু বৈদ্যুতিক বল,চাপ বল,চৌম্বক বল,A
2014,সাধারণ আপেক্ষিকতা তত্ত্ব কাকে ব্যাখ্যা করে?,মাধ্যাকর্ষণকে স্থান-কাল বক্রতার ফল,চাপের পরিবর্তন,আলোক তড়িৎ প্রভাব,চৌম্বক আবর্তন,A
2015,ফ্যারাডের আবর্তনীয় তড়িৎচৌম্বকীয় আইন অনুযায়ী কোনটিতে তড়িৎচালক শক্তি উৎপন্ন হয়?,চৌম্বক ফ্লাক্স পরিবর্তনে,স্থির চৌম্বক ক্ষেত্রে,প্রবল তাপ প্রয়োগে,ভোল্টেজ স্থির রাখলে,A
2016,ডপলার প্রভাব কোন ক্ষেত্রে দেখা যায়?,শব্দ ও আলো উভয় ক্ষেত্রে,শুধু শব্দ তরঙ্গে,শুধু আলো তরঙ্গে,চৌম্বক তরঙ্গে,A
2017,ওহমের সূত্রে V এবং I এর অনুপাত কোন ক্ষেত্রে ধ্রুবক থাকে?,ওহমিক পরিবাহকে,সুপারকন্ডাক্টরে,সেমিকন্ডাক্টরে,ডাইোডে,A
2018,হাইজেনবার্গ অনিশ্চয়তা নীতি কী নির্দেশ করে?,স্থান ও ভরবেগ একসাথে নির্দিষ্ট করে মাপা যায় না,দ্রব্য ও শক্তি সংরক্ষণ,শ্রোডিংগার সমীকরণের সমাধান,শুধু ভর মাপা অসম্ভব,A
2019,প্রিজমে বিকিরণের মধ্যে সবচেয়ে বেশি বিচ্যুতি কার?,বেগুনি,লাল,সবুজ,নীল,A
2020,শব্দ তরঙ্গ গ্যাসের তাপমাত্রা বাড়ালে কী পরিবর্তন হয়?,ধ্বনির বেগ বাড়ে,ধ্বনির ফ্রিকোয়েন্সি কমে,ধ্বনির তীব্রতা বাড়ে,ধ্বনির বেগ কমে,A
2021,ভাল সূচকালী ব্যালেন্সের জন্য সেতু বর্তনীর অবস্থা—,Rx×R1 = R2×R3,Rx−R1 = R2−R3,Rx/R1 = R2/R3,Rx+R1 = R2+R3,C
2022,কোনো বস্তুর গতিবেগ কতটুকু হলে তা ৫ মিটার দূরত্ব ২ সেকেন্ডে অতিক্রম করে?,৫ মিটার/সেকেন্ড,২.৫ মিটার/সেকেন্ড,১০ মিটার/সেকেন্ড,১৫ মিটার/সেকেন্ড,B
2023,একটি বস্তু ১০ মিটার উচ্চতা হতে মুক্ত হলে ভূপৃষ্ঠে গতি কত হবে? (g = ১০ m/s²),১০ m/s,১৪ m/s,১৫ m/s,২০ m/s,B
2024,একটি গাড়ি ২০ সেকেন্ডে ১০০ মিটার পথ অতিক্রম করে। গাড়ির গড় বেগ কত?,৫ m/s,১০ m/s,১৫ m/s,২০ m/s,A
2025,কোনো বস্তুর ভর ৫ কেজি এবং ত্বরণ ২ m/s²। বস্তুতে কত বল প্রয়োগ করা হয়েছে?,৫ N,১০ N,১৫ N,২০ N,B
2026,পরিবাহিত তড়িৎধারার সূত্র কোনটি?,I = V/R,Q = It,Q = V/R,I = Qt,A
2027,একটি চালকের প্রতিরোধ ১০ ওহম এবং তড়িৎ ধারা ২ অ্যাম্পিয়ার। তড়িৎ চাপ কত?,৫ V,১০ V,১৫ V,২০ V,B
2028,চলনশীল তড়িৎ ক্ষেত্রে বলের সূত্র কোনটি?,F = qvB,F = qE,F = ma,F = kq1q2/r²,A
