id,question,A,B,C,D,topic,question_type
1559,A force of 20 N acts on a particle at an angle of 45°. What is the component of the force on the X-axis?,14.14 N,10 N,20 N,17.32 N,Vectors,Mathematical
1560,If A ⃗ = i ̂ + j ̂ + k ̂ and B ⃗ = 2i ̂ – j ̂ – k ̂; then what is A ⃗ + B ⃗?,3i ̂,i ̂ + 2j ̂,3i ̂ + 2k ̂,3i ̂ – j ̂ – k ̂,Vectors,Mathematical
1561,The resultant of two vectors is R ⃗ = A ⃗ + B ⃗. If |A ⃗| = |B ⃗|; for what angle will the magnitude of the resultant be maximum?,0°,45°,90°,180°,Vectors,Reasoning
1562,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; then what is A ⃗ . B ⃗?,4,6,8,2,Vectors,Mathematical
1563,Forces of 25 N and 25 N act on a particle at an angle of 120°. What is the magnitude of the resultant force?,25 N,43.3 N,50 N,35 N,Vectors,Mathematical
1564,If A ⃗ = 4i ̂ – j ̂ and B ⃗ = –i ̂ + 4j ̂; then what is |A ⃗ – B ⃗|?,√50,√25,√75,√100,Vectors,Mathematical
1565,A vector has a magnitude of 12 and is inclined at an angle of 60° with the X-axis. What is its X-component?,6,10.39,12,8,Vectors,Mathematical
1566,If A ⃗ = 2i ̂ + j ̂ + k ̂ and B ⃗ = i ̂ – j ̂ + 2k ̂; then what is A ⃗ × B ⃗?,3i ̂ – j ̂ – 3k ̂,i ̂ + 3j ̂ – 3k ̂,3i ̂ + j ̂ – 3k ̂,i ̂ – 3j ̂ + 3k ̂,Vectors,Mathematical
1567,The angle between two vectors is 45° and their magnitudes are 4 and 4. What is the scalar product?,8,11.31,16,4,Vectors,Mathematical
1568,If A ⃗ = 3i ̂ – 2j ̂ and B ⃗ = 2i ̂ + 3j ̂; then what is A ⃗ . B ⃗?,0,6,–6,12,Vectors,Mathematical
1569,The sides of a parallelogram are A ⃗ = 4i ̂ and B ⃗ = 3j ̂. What is the area?,12,9,15,6,Vectors,Mathematical
1570,If A ⃗ = 3i ̂ – j ̂ + k ̂ and B ⃗ = i ̂ + 2j ̂ – k ̂; then what is |A ⃗ + B ⃗|?,√18,√14,√10,√12,Vectors,Mathematical
1571,A force of 10 N acts on a particle at an angle of 60°. What is the component of the force on the Y-axis?,8.66 N,5 N,10 N,7.5 N,Vectors,Mathematical
1572,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; then what is A ⃗ × B ⃗?,3 k ̂,–3 k ̂,5 k ̂,–5 k ̂,Vectors,Mathematical
1573,If the angle between two vectors is 0°; what is A ⃗ . B ⃗?,0,|A ⃗||B ⃗|,1,–1,Vectors,Theoretical
1574,If A ⃗ = 3i ̂ + 3j ̂ and B ⃗ = –3i ̂ – 3j ̂; then what is A ⃗ . B ⃗?,0,18,–18,9,Vectors,Mathematical
1575,The displacement of a particle is r ⃗ = 2i ̂ – j ̂ + k ̂ m and the force is F ⃗ = i ̂ + j ̂ – k ̂ N. What is the work done?,0 J,2 J,4 J,–2 J,Work and Energy,Mathematical
1576,If A ⃗ = 4i ̂ + j ̂ and B ⃗ = –j ̂ + 4i ̂; then what is the angle between them?,45°,90°,135°,180°,Vectors,Mathematical
1577,The sides of a parallelogram are A ⃗ = 4i ̂ – j ̂ and B ⃗ = i ̂ + 4j ̂. What is the area?,17,15,20,13,Vectors,Mathematical
1578,If A ⃗ = 3i ̂ + j ̂ – k ̂ and B ⃗ = i ̂ – j ̂ + k ̂; then what is |A ⃗ × B ⃗|?,√12,√18,√24,√6,Vectors,Mathematical
1579,A force of 15 N acts on a particle at an angle of 45°. What is the component of the force on the X-axis?,10.61 N,7.5 N,15 N,12.99 N,Vectors,Mathematical
1580,If A ⃗ = i ̂ + j ̂ + k ̂ and B ⃗ = 2i ̂ – j ̂ – k ̂; then what is A ⃗ + B ⃗?,3i ̂,i ̂ + 2j ̂,3i ̂ + 2k ̂,3i ̂ – j ̂ – k ̂,Vectors,Mathematical
1581,The resultant of two vectors is R ⃗ = A ⃗ + B ⃗. If |A ⃗| = |B ⃗|; for what angle will the magnitude of the resultant be maximum?,0°,45°,90°,180°,Vectors,Reasoning
1582,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; then what is A ⃗ . B ⃗?,4,6,8,2,Vectors,Mathematical
1583,Forces of 20 N and 20 N act on a particle at an angle of 90°. What is the magnitude of the resultant force?,28.28 N,40 N,20 N,30 N,Vectors,Mathematical
1584,If A ⃗ = 4i ̂ – j ̂ and B ⃗ = –i ̂ + 4j ̂; then what is |A ⃗ – B ⃗|?,√50,√25,√75,√100,Vectors,Mathematical
1585,A vector has a magnitude of 10 and is inclined at an angle of 30° with the X-axis. What is its X-component?,8.66,5,10,7.5,Vectors,Mathematical
1586,If A ⃗ = 2i ̂ + j ̂ + k ̂ and B ⃗ = i ̂ – j ̂ + 2k ̂; then what is A ⃗ × B ⃗?,3i ̂ – j ̂ – 3k ̂,i ̂ + 3j ̂ – 3k ̂,3i ̂ + j ̂ – 3k ̂,i ̂ – 3j ̂ + 3k ̂,Vectors,Mathematical
1587,The angle between two vectors is 60° and their magnitudes are 3 and 4. What is the scalar product?,6,12,18,24,Vectors,Mathematical
1588,If A ⃗ = 3i ̂ – 2j ̂ and B ⃗ = 2i ̂ + 3j ̂; then what is A ⃗ . B ⃗?,0,6,–6,12,Vectors,Mathematical
1589,The sides of a parallelogram are A ⃗ = 4i ̂ and B ⃗ = 3j ̂. What is the area?,12,9,15,6,Vectors,Mathematical
1590,If A ⃗ = 3i ̂ – j ̂ + k ̂ and B ⃗ = i ̂ + 2j ̂ – k ̂; then what is |A ⃗ + B ⃗|?,√18,√14,√10,√12,Vectors,Mathematical
1591,A force of 10 N acts on a particle at an angle of 30°. What is the component of the force on the Y-axis?,5 N,8.66 N,10 N,7.5 N,Vectors,Mathematical
1592,If A ⃗ = 2i ̂ + j ̂ and B ⃗ = i ̂ + 2j ̂; then what is A ⃗ × B ⃗?,3 k ̂,–3 k ̂,5 k ̂,–5 k ̂,Vectors,Mathematical
1593,If the angle between two vectors is 0°; what is A ⃗ . B ⃗?,0,|A ⃗||B ⃗|,1,–1,Vectors,Theoretical
1594,If A ⃗ = 3i ̂ + 3j ̂ and B ⃗ = –3i ̂ – 3j ̂; then what is A ⃗ . B ⃗?,0,18,–18,9,Vectors,Mathematical
1595,The displacement of a particle is r ⃗ = 2i ̂ – j ̂ + k ̂ m and the force is F ⃗ = i ̂ + j ̂ – k ̂ N. What is the work done?,0 J,2 J,4 J,–2 J,Work and Energy,Mathematical
1596,What happens when a force is applied to an object?,Acceleration is produced,Motion stops,Energy decreases,Pressure increases,Laws of Motion,Theoretical
1597,What is the formula for Newton's second law?,F = ma,F = mv,F = mgh,F = ½mv²,Laws of Motion,Definition
1598,Which is an example of gravitational force?,Earth's pull,Frictional force,Electric force,Magnetic force,Gravitation,Application
1599,What is the SI unit of power?,Watt,Joule,Newton,Pascal,Work and Energy,Definition
1600,What is the formula for potential energy?,mgh,½mv²,mv,ma,Work and Energy,Definition
1601,Which one explains the principle of conservation of energy?,Energy is not wasted,Energy is destroyed,Energy is generated,Energy is only converted into heat,Work and Energy,Theoretical
1602,When does the frictional force act?,When the object is stationary or in motion,Only in a stationary state,Only in a moving state,In no state,Laws of Motion,Theoretical
1603,What does the pressure of a liquid depend on?,Depth,Temperature,Volume,Speed,Fluid Mechanics,Theoretical
1604,What does Pascal's principle explain?,The pressure of a liquid is equal everywhere,The pressure of a liquid decreases with depth,The pressure of a liquid increases with temperature,The pressure of a liquid decreases with density,Fluid Mechanics,Theoretical
1605,What does the buoyant force of a liquid depend on?,The volume of the object and the density of the liquid,The mass of the object,The speed of the object,The temperature of the object,Fluid Mechanics,Theoretical
1606,What happens to the pressure of a gas when the temperature increases?,Increases,Decreases,Remains unchanged,Becomes zero,Thermodynamics,Theoretical
1607,What is the formula for heat conductivity?,Q = kAΔT/d,Q = mcΔT,Q = ½mv²,Q = mgh,Thermodynamics,Definition
1608,Which is an example of heat radiation?,Sunlight,Convection,Conduction,Friction,Thermodynamics,Application
1609,What is the unit of electric charge?,Coulomb,Ampere,Volt,Ohm,Electrostatics,Definition
1610,Which is a characteristic of an electric field?,Applies force on a charge,Reduces energy on a charge,Reduces speed on a charge,Creates pressure on a charge,Electrostatics,Theoretical
1611,What is the unit of electric potential?,Volt,Ampere,Ohm,Joule,Electrostatics,Definition
1612,What does resistance depend on?,Length and cross-sectional area,Mass,Temperature,Speed,Current Electricity,Theoretical
1613,Which is an example of a conductor?,Copper,Glass,Plastic,Wood,Current Electricity,Application
1614,Which is an example of an insulator?,Glass,Copper,Silver,Gold,Current Electricity,Application
1615,What is electric current measured by?,Ammeter,Voltmeter,Ohmmeter,Galvanometer,Current Electricity,Experimental
1616,What is a magnetic field produced by?,Moving charge,Static charge,Heat,Pressure,Magnetism,Theoretical
1617,What does a change in magnetic flux create?,Electric current,Magnetic current,Heat flow,Energy flow,Electromagnetic Induction,Theoretical
1618,What happens when the current flowing through a coil changes?,Electrical induction,Magnetic induction,Heat induction,Energy induction,Electromagnetic Induction,Theoretical
1619,What is the relationship between the primary and secondary coils of a transformer?,Ratio of voltage and turns,Ratio of mass,Ratio of energy,Ratio of pressure,Alternating Current,Theoretical
1620,What is the characteristic of AC current?,Periodic change,Fixed direction,Unstable direction,Zero value,Alternating Current,Theoretical
1621,What is the characteristic of DC current?,Fixed direction and magnitude,Periodic change,Unstable direction,Zero value,Current Electricity,Theoretical
1622,What is the nature of light?,Both wave and particle,Only wave,Only particle,Energy,Wave Optics,Theoretical
1623,In which medium is the speed of light highest?,Vacuum,Water,Glass,Air,Ray Optics,Theoretical
1624,What is the refraction of light?,Change of direction when changing medium,Increase in speed when changing medium,Decrease in energy when changing medium,Increase in pressure when changing medium,Ray Optics,Definition
1625,What is the critical angle?,The angle for total internal reflection,Angle of reflection,Angle of refraction,Angle of incidence,Ray Optics,Definition
1626,What does the focal length of a lens depend on?,Radius of curvature,Mass of the lens,Density of the lens,Pressure of the lens,Ray Optics,Theoretical
1627,What does a convex lens do?,Converges light,Diverges light,Absorbs light,Reflects light,Ray Optics,Theoretical
1628,What does a concave lens do?,Diverges light,Converges light,Absorbs light,Reflects light,Ray Optics,Theoretical
1629,What causes the dispersion of light?,Different speeds for different wavelengths,Same speed for different wavelengths,Different speeds for the same wavelength,Same speed for the same wavelength,Ray Optics,Theoretical
1630,What type of wave is a sound wave?,Longitudinal,Transverse,Both,Neither,Waves,Definition
1631,In which medium is the speed of sound highest?,In a dense medium,In a liquid medium,In a gaseous medium,In a vacuum,Waves,Theoretical
1632,What does the intensity of sound depend on?,Square of the amplitude,Cube of the amplitude,Wavelength,Frequency,Waves,Theoretical
1633,To which is the Doppler effect applicable?,Both light and sound,Only light,Only sound,Electric wave,Waves,Theoretical
1634,What kind of wave is an electromagnetic wave?,Transverse wave,Longitudinal wave,Mechanical wave,Standing wave,Electromagnetic Waves,Definition
1635,What does the energy of a photon depend on?,Frequency,Wavelength,Amplitude,Density of the medium,Modern Physics,Theoretical
1636,What does quantum mechanics study?,The behavior of molecules and atoms,The behavior of large objects,The behavior of liquids,The behavior of gases,Quantum Mechanics,Definition
1637,Who proposed the wave nature of electrons?,Louis de Broglie,Einstein,Planck,Heisenberg,Modern Physics,Historical
1638,What does the Schrödinger equation explain?,The wave function of an electron,The speed of an electron,The mass of an electron,The charge of an electron,Quantum Mechanics,Theoretical
1639,How many quantum numbers are there?,Four,Three,Five,Two,Atomic Physics,Definition
1640,What does the principal quantum number indicate?,Energy level,Shape of the orbit,Direction of the orbit,Spin of the electron,Atomic Physics,Theoretical
1641,What does the orbital quantum number indicate?,Shape of the orbit,Energy level,Direction of the orbit,Spin of the electron,Atomic Physics,Theoretical
1642,What does the magnetic quantum number indicate?,Direction of the orbit,Energy level,Shape of the orbit,Spin of the electron,Atomic Physics,Theoretical
1643,What does the spin quantum number indicate?,Spin of the electron,Energy level,Shape of the orbit,Direction of the orbit,Atomic Physics,Theoretical
1644,What is the maximum number of electrons that can be in an electron orbit?,2n²,n²,2n,n,Atomic Physics,Theoretical
1645,What does the spectrum of a hydrogen atom indicate?,Transition of energy levels,Speed of the electron,Speed of the proton,Speed of the neutron,Atomic Physics,Theoretical
1646,To which energy level does the Lyman series transition?,n=1,n=2,n=3,n=4,Atomic Physics,Theoretical
1647,To which energy level does the Balmer series transition?,n=2,n=1,n=3,n=4,Atomic Physics,Theoretical
1648,To which energy level does the Paschen series transition?,n=3,n=1,n=2,n=4,Atomic Physics,Theoretical
1649,What controls nuclear fission?,Neutron,Proton,Electron,Photon,Nuclear Physics,Theoretical
1650,What controls nuclear fusion?,Hydrogen nucleus,Electron,Proton,Neutron,Nuclear Physics,Theoretical
1651,What does the rate of radioactive decay depend on?,Decay constant,Energy constant,Motion constant,Pressure constant,Nuclear Physics,Theoretical
1652,What is Einstein's photoelectric equation?,E = hf - φ,E = hf + φ,E = h/f - φ,E = h/f + φ,Modern Physics,Definition
1653,What is a band gap in a semiconductor?,The energy difference between the valence and conduction bands,The sum of the valence and conduction bands,Energy of the valence band,Energy of the conduction band,Semiconductor Physics,Definition
1654,What is an energy band?,Electron's energy level,Proton's energy level,Neutron's energy level,Photon's energy level,Semiconductor Physics,Definition
1655,What is a forward bias in a diode?,p-side to the positive terminal,n-side to the positive terminal,p-side to the negative terminal,n-side to the negative terminal,Semiconductor Physics,Definition
1656,What is the common emitter configuration in a transistor?,Emitter is the common terminal,Base is the common terminal,Collector is the common terminal,Both A and B,Semiconductor Physics,Definition
1657,What is an operational amplifier?,Voltage amplifier,Current amplifier,Power amplifier,Pressure amplifier,Semiconductor Physics,Definition
1658,What is a logic gate?,The basic unit of a digital circuit,The unit of an analog circuit,The unit of an electric circuit,The unit of a magnetic circuit,Semiconductor Physics,Definition
1659,When is the output of an AND gate high?,When all inputs are high,When any input is high,When all inputs are low,When any input is low,Semiconductor Physics,Theoretical
1660,When is the output of an OR gate high?,When any input is high,When all inputs are high,When all inputs are low,When any input is low,Semiconductor Physics,Theoretical
1661,What is the function of a NOT gate?,Outputs the inverse of the input,Outputs the same as the input,Outputs double the input,Outputs half the input,Semiconductor Physics,Theoretical
1662,What is a NAND gate?,The inverse of an AND gate,The inverse of an OR gate,The inverse of a NOT gate,Combination of AND and OR gates,Semiconductor Physics,Definition
1663,What is a NOR gate?,The inverse of an OR gate,The inverse of an AND gate,The inverse of a NOT gate,Combination of OR and AND gates,Semiconductor Physics,Definition
1664,What does the electric current in a closed loop depend on?,Voltage and resistance,Mass and resistance,Energy and resistance,Pressure and resistance,Current Electricity,Theoretical
1665,What does Kirchhoff's first law indicate?,Conservation of current,Conservation of voltage,Conservation of energy,Conservation of momentum,Current Electricity,Theoretical
1666,What does Kirchhoff's second law indicate?,Conservation of voltage,Conservation of current,Conservation of energy,Conservation of momentum,Current Electricity,Theoretical
1667,In which direction do electric field lines go?,From positive to negative,From negative to positive,From positive to positive,From negative to negative,Electrostatics,Theoretical
1668,What do magnetic field lines indicate?,From the north pole to the south pole,From the south pole to the north pole,From the north pole to the north pole,From the south pole to the south pole,Magnetism,Theoretical
